tree	PolySolver_dlc	PolySolver_nad	PolySolver_dup	PolySolver_lost	PolySolver_rf	PolySolver_maxrf	PolySolver_dinl	PolySolver_p-val	PolySolver_time	ML_time	total_polytomy	polysolver_nsol	best_sol_aLRT	is_bestrf	best_rf
225	11	0	8	24	12	83	0.990471	0.250311	1.42653393745	3.19171094894	8	1	-39282.228755	True	12
684	6	0	9	29	16	83	6.06675	0.0608814	0.588841915131	7.03723978996	7	1	-28757.594625	True	16
4	3	0	3	2	4	71	3.84959	0.0929931	0.562685012817	8.017608881	4	1	-33174.156469	True	4
503	10	0	8	19	14	76	1.82048	0.240026	0.541400909424	7.33552002907	6	1	-29312.001848	True	14
79	12	0	8	11	8	71	1.48249	0.213485	0.759197950363	8.99316191673	6	1	-36119.116851	True	8
716	7	0	4	12	14	74	8.28888	0.027767	0.524169921875	6.85130786896	5	1	-38616.324774	True	14
922	8	0	8	26	14	74	2.70016	0.145451	0.542640924454	8.32253408432	6	1	-33001.740628	True	14
424	10	0	8	18	16	73	29.1344	0.000252926	0.549706935883	7.98718595505	4	2	-37772.785705	True	16
200	8	0	4	11	8	67	2.8942	0.187073	0.715671062469	5.46857190132	7	1	-30629.624536	True	8
677	5	0	8	20	10	66	3.44312	0.223349	0.702353954315	7.78530287743	6	1	-33361.368332	True	10
789	12	0	4	14	12	67	2.56063	0.214825	0.770756959915	6.96816778183	8	1	-27930.383698	True	12
929	9	0	6	22	14	68	4.56292	0.0756966	0.508801937103	6.60544300079	7	1	-27474.805444	True	14
277	6	0	4	2	4	59	17.7565	0.00436705	1.14597606659	4.7039000988	5	1	-29563.465758	True	4
881	6	0	6	0	0	57	2.84378	0.198685	0.46103811264	6.55203294754	3	1	-34686.901865	True	0
145	4	0	4	15	10	60	3.95839	0.0792607	0.512784957886	7.882833004	5	1	-28098.501213	True	10
403	8	1	4	9	6	58	1.52378	0.193873	1.72275400162	6.49284815788	5	1	-27568.686073	True	6
125	8	0	8	31	14	60	1.1065	0.332099	0.609432935715	5.53278779984	5	1	-22127.967483	True	14
155	9	0	5	12	8	57	0.787397	0.317949	0.505462884903	6.12445998192	7	1	-25069.980203	True	8
493	10	0	6	13	10	58	4.28362	0.10493	1.56608200073	6.8853290081	6	1	-29686.043871	True	10
104	6	0	6	23	12	57	2.21775	0.165444	0.49439907074	5.58232116699	3	1	-21337.833479	True	12
118	9	0	5	13	10	56	2.85048	0.176894	1.7455098629	6.00674200058	6	1	-22242.938464	True	10
313	7	2	3	8	6	54	0.279173	0.356458	2.17281007767	4.80653095245	4	1	-24224.582441	True	6
139	3	0	7	27	12	55	0.63089	0.317118	0.629085063934	3.01691389084	4	1	-23214.031065	True	12
146	6	0	4	19	12	55	3.46478	0.10907	1.25893592834	6.16814208031	6	1	-25958.371993	True	12
338	3	0	3	5	4	51	3.00715	0.132926	0.503072977066	6.46108293533	7	1	-25795.150293	True	4
427	9	1	2	7	32	65	136.286	2.45728e-14	0.488550901413	6.29508209229	3	1	-31236.432164	True	32
488	4	0	3	7	6	52	2.62259	0.224127	1.99052405357	3.33907485008	6	1	-25607.915889	True	6
542	8	0	5	20	12	55	7.60498	0.0454675	1.95231604576	5.24696516991	4	1	-21216.282673	True	12
725	6	0	4	18	12	55	5.44282	0.0547752	1.10917901993	6.0704190731	3	1	-26370.622209	True	12
752	6	0	3	11	10	54	9.42504	0.0234086	0.477180957794	6.15620589256	4	1	-26309.703136	True	10
810	5	0	5	22	12	55	1.53435	0.20714	1.62805604935	6.11254906654	5	1	-23632.758397	True	12
927	8	0	7	17	14	56	0.838502	0.302198	1.55153512955	5.54067111015	5	1	-23639.35157	True	14
941	11	1	4	11	10	54	6.78905	0.0399627	0.521976947784	5.63423585892	4	1	-23916.403241	True	10
948	6	0	4	10	10	54	32.0239	0.000514269	0.749142169952	5.85853505135	3	1	-23324.61485	True	10
20	3	0	3	0	2	48	5.70799	0.0537661	2.18102097511	5.72011899948	3	1	-20404.72919	True	2
81	14	1	3	15	18	56	47.1281	3.55051e-05	1.60496306419	4.45739912987	4	1	-19191.331725	True	18
121	11	3	4	20	10	52	2.64041	0.16637	1.1918990612	5.1908428669	5	1	-23316.471621	True	10
194	9	0	5	15	14	54	14.1647	0.00835059	0.505559206009	5.62638497353	4	1	-22017.676485	True	14
295	4	0	5	17	8	51	4.4282	0.0869595	1.62512016296	6.23890590668	4	1	-25188.292503	True	8
315	7	0	6	22	10	52	0.066549	0.428049	1.13013076782	6.46597909927	5	1	-25554.856013	True	10
349	8	0	6	2	0	47	0.61671	0.303763	1.26209616661	5.9980840683	3	1	-27430.492379	True	0
506	6	0	4	7	4	49	0.880784	0.395155	1.15420794487	5.92634296417	3	1	-23077.955782	True	4
530	8	3	3	15	8	51	0.336816	0.338397	0.581027030945	5.1136431694	6	1	-24930.253736	True	8
561	2	1	4	20	10	52	1.01095	0.243746	0.536022901535	5.12064599991	4	1	-22954.075748	True	10
620	5	1	3	5	2	48	0.48438	0.308864	0.44575715065	5.68295121193	3	2	-24204.686507	True	2
721	6	0	4	10	14	54	122.012	7.26054e-13	0.488486051559	2.98853802681	3	1	-27474.232515	True	14
722	2	5	2	25	10	52	-1.04374e-08	0.500017	1.18923401833	6.44261908531	3	1	-24272.399057	True	10
780	4	0	5	15	8	51	2.25315	0.153795	1.15378880501	3.86361503601	4	1	-22726.433421	True	8
796	2	0	2	0	0	47	4.54948	0.0696191	1.26815915108	6.18478703499	3	1	-25959.317958	True	0
22	7	0	4	11	10	50	5.41892	0.0977339	0.477973937988	5.16411089897	4	1	-21573.524686	True	10
32	5	0	5	18	8	49	0.676818	0.328168	1.57890295982	4.71879291534	5	1	-21523.21389	True	8
59	5	4	1	21	10	50	1.6653	0.342001	1.39084196091	5.52297306061	5	1	-24252.704295	True	10
84	8	0	3	6	10	50	63.4232	1.4748e-07	1.41619515419	5.53538513184	3	1	-26016.155465	True	10
233	3	0	2	1	0	45	1.74148	0.289376	1.02650380135	5.15904998779	3	1	-22611.90608	True	0
240	7	0	3	5	8	49	7.502	0.0509118	1.2337269783	5.15872883797	4	2	-23105.392028	True	8
341	2	0	1	1	8	49	8.80164	0.0285241	0.83132314682	5.87107515335	2	2	-27075.409083	True	8
435	7	4	2	22	10	50	0.0996958	0.41226	2.01489400864	4.35238718987	4	1	-18698.916382	True	10
446	8	3	2	19	10	50	3.34654	0.148844	1.70191383362	5.00568294525	4	1	-21379.783933	True	10
573	6	1	1	5	6	48	5.00085	0.118006	3.29123497009	5.00277900696	3	1	-22589.29	True	6
