tree	Raxml_logL	TreeFix_logL	ProfileNJ95_logL	TruePhylo_logL	Raxml_AU	TreeFix_AU	ProfileNJ95_AU	TruePhylo_AU	Raxml_SH	TreeFix_SH	ProfileNJ95_SH	TruePhylo_SH
309	-30898.658918	-30905.639647	-30900.051652	-30900.051652	0.734	0.05	0.39	0.39	0.804	0.08	0.555	0.555
80	-33477.748499	-33483.106444	-33566.28025	-33479.68295	0.737	0.102	0.001	0.392	0.872	0.44	0.0	0.692
439	-25052.698309	-25054.746934	-25053.824929	-25055.213241	0.639	0.316	0.542	0.228	0.761	0.573	0.645	0.462
738	-31643.363836	-31644.385698	-31644.036878	-31644.385698	0.593	0.296	0.488	0.294	0.624	0.457	0.502	0.457
145	-34988.214666	-34996.092246	-35814.998774	-34996.340038	0.94	0.089	7e-08	0.093	0.988	0.489	0.0	0.496
253	-32285.390643	-32287.252993	-32289.310297	-32287.252993	0.833	0.292	0.089	0.292	0.852	0.354	0.118	0.354
589	-25605.472881	-25605.746887	-25605.746887	-25605.746887	0.624	0.379	0.379	0.377	0.625	0.375	0.375	0.375
649	-27909.069996	-27909.069996	-27909.081579	-27909.069996	0.622	0.652	0.452	0.647	0.793	0.889	0.458	0.822
787	-30674.550953	-30682.438437	-30682.438437	-30682.438437	0.929	0.072	0.072	0.071	0.934	0.066	0.066	0.066
26	-28603.666411	-28605.299346	-28605.299346	-28604.18617	0.786	0.183	0.183	0.375	0.884	0.263	0.263	0.528
296	-30308.762115	-30310.009775	-30326.532425	-30310.009775	0.805	0.228	0.005	0.229	0.876	0.554	0.005	0.555
303	-27196.781592	-27200.134395	-27200.134395	-27200.134395	0.83	0.171	0.172	0.171	0.818	0.182	0.182	0.182
378	-27082.269873	-27082.93217	-27082.93217	-27082.93217	0.702	0.3	0.299	0.301	0.69	0.31	0.31	0.31
676	-31457.707835	-31459.533379	-31507.982835	-31461.644105	0.869	0.231	2e-06	0.089	0.929	0.61	0.0	0.431
714	-32844.919216	-32846.022679	-32848.44691	-32846.022679	0.769	0.365	0.125	0.365	0.811	0.512	0.137	0.512
41	-25333.672335	-25333.672335	-25339.647268	-25333.672335	0.612	0.534	0.046	0.516	0.879	0.87	0.05	0.751
224	-25957.204411	-25960.369496	-25963.088159	-25960.369496	0.825	0.254	0.062	0.253	0.849	0.276	0.088	0.276
247	-25668.384929	-25670.574405	-25683.566395	-25672.14091	0.892	0.215	0.005	0.108	0.925	0.501	0.006	0.315
272	-30693.141493	-30697.184002	-30694.115043	-30694.281405	0.752	0.093	0.421	0.354	0.81	0.134	0.574	0.536
328	-26283.499704	-26285.110233	-26286.110636	-26285.110233	0.827	0.26	0.152	0.293	0.844	0.331	0.173	0.331
440	-29539.617403	-29542.880186	-29661.137868	-29542.879771	0.836	0.171	1e-34	0.168	0.895	0.521	0.0	0.522
540	-32198.421153	-32200.775319	-32200.775319	-32200.775319	0.83	0.17	0.171	0.172	0.818	0.182	0.182	0.182
593	-25131.4632	-25137.097437	-25137.097437	-25137.097437	0.939	0.062	0.061	0.062	0.933	0.067	0.067	0.067
662	-26122.933756	-26128.8207	-26128.727231	-26126.87733	0.929	0.062	0.084	0.173	0.944	0.072	0.076	0.18
664	-29221.514103	-29223.300956	-29229.114571	-29223.300956	0.859	0.191	0.042	0.243	0.885	0.462	0.057	0.462
674	-27178.628657	-27180.648004	-27180.015721	-27180.681759	0.687	0.244	0.409	0.201	0.744	0.278	0.386	0.271
750	-27252.079455	-27252.341436	-27252.341436	-27253.372599	0.687	0.486	0.487	0.219	0.771	0.645	0.645	0.264
826	-27386.175817	-27389.508177	-27403.332797	-27389.048712	0.89	0.105	0.004	0.307	0.925	0.396	0.01	0.428
10	-25812.901667	-25815.096983	-25815.096983	-25815.096983	0.803	0.201	0.201	0.2	0.798	0.202	0.202	0.202
113	-23496.379201	-23496.379201	-23496.379202	-23496.379202	0.515	0.37	0.488	0.486	0.932	0.965	0.563	0.52
227	-27434.330058	-27439.928588	-27440.010836	-27437.754363	0.801	0.195	0.121	0.313	0.846	0.148	0.143	0.318
251	-30855.522278	-30866.187129	-30858.367444	-30858.367444	0.743	0.049	0.364	0.364	0.774	0.075	0.495	0.495
314	-23921.085362	-23922.436459	-23924.711058	-23922.436459	0.837	0.298	0.094	0.3	0.86	0.449	0.127	0.449
549	-24969.239256	-24969.239257	-24969.239257	-24969.239256	0.466	0.481	0.487	0.477	0.827	0.706	0.631	0.828
578	-22908.077911	-22909.197315	-22911.620486	-22909.197369	0.843	0.308	0.092	0.306	0.856	0.496	0.135	0.496
588	-23714.025568	-23716.0479	-23733.460331	-23716.0479	0.845	0.182	0.001	0.182	0.907	0.502	0.006	0.503
659	-22328.482427	-22329.351515	-22329.351515	-22329.351515	0.753	0.249	0.249	0.248	0.741	0.259	0.259	0.259
765	-30170.882818	-30179.633492	-31479.981488	-30179.027404	0.922	0.072	5e-71	0.116	0.976	0.446	0.0	0.465
790	-27420.816161	-27425.957786	-27421.940273	-27425.957786	0.844	0.061	0.276	0.061	0.893	0.083	0.488	0.083
840	-27194.250936	-27195.716984	-27198.307704	-27195.716984	0.761	0.388	0.143	0.388	0.804	0.508	0.177	0.508
841	-24314.265627	-24315.182525	-24315.182525	-24315.182525	0.66	0.343	0.344	0.341	0.66	0.34	0.34	0.34
919	-24554.491549	-24556.077009	-24556.33276	-24556.077008	0.797	0.275	0.239	0.277	0.878	0.362	0.3	0.362
972	-21736.925403	-21736.925403	-21764.898812	-21736.925403	0.514	0.458	0.001	0.491	0.796	0.892	0.002	0.809
380	-20200.877342	-20206.30778	-20221.292128	-20203.598126	0.824	0.095	0.003	0.296	0.887	0.288	0.007	0.542
565	-28047.303072	-28051.521238	-28051.521238	-28050.013736	0.898	0.057	0.105	0.175	0.917	0.099	0.099	0.213
608	-30120.333685	-30125.325608	-30126.557506	-30125.325608	0.932	0.114	0.066	0.113	0.947	0.085	0.058	0.085
618	-25851.211015	-25853.166248	-25853.166248	-25853.166248	0.784	0.218	0.218	0.218	0.784	0.217	0.217	0.217
621	-29300.472833	-29302.652528	-29305.51306	-29302.809042	0.872	0.271	0.098	0.195	0.887	0.373	0.11	0.339
758	-29670.142754	-29678.255631	-29686.84607	-29678.255705	0.928	0.089	0.006	0.087	0.954	0.089	0.006	0.089
879	-22470.6753	-22470.743033	-22475.254028	-22470.743033	0.593	0.574	0.078	0.578	0.705	0.733	0.12	0.733
939	-27010.039652	-27014.517289	-27031.843705	-27014.517289	0.925	0.085	0.001	0.084	0.949	0.307	0.002	0.307
983	-26921.229393	-26924.326731	-26961.905762	-26922.213349	0.625	0.199	0.0004	0.519	0.792	0.572	0.0002	0.759
117	-22046.775115	-22049.301974	-22049.301912	-22049.301974	0.821	0.181	0.181	0.18	0.816	0.184	0.184	0.184
274	-21745.269306	-21746.067764	-21748.556819	-21746.067764	0.722	0.44	0.129	0.44	0.781	0.583	0.171	0.583
370	-25732.479045	-25742.834721	-25733.987772	-25734.117409	0.652	0.048	0.458	0.445	0.753	0.101	0.665	0.648
453	-23351.522561	-23357.062802	-23360.040686	-23351.721447	0.719	0.08	0.021	0.474	0.851	0.071	0.031	0.733
468	-24985.13873	-24988.133645	-25018.507133	-24988.133645	0.892	0.112	0.0003	0.112	0.93	0.446	9e-05	0.446
498	-28338.630836	-28340.662861	-28340.603588	-28340.662861	0.83	0.189	0.232	0.188	0.846	0.168	0.167	0.168
625	-22136.871333	-22136.871333	-22138.889112	-22136.871333	0.62	0.544	0.168	0.584	0.919	0.734	0.169	0.853
689	-28986.63944	-28987.996894	-28996.625895	-28987.996894	0.841	0.241	0.022	0.243	0.882	0.515	0.026	0.515
691	-27506.461974	-27509.155148	-27511.337247	-27509.155148	0.824	0.284	0.086	0.285	0.85	0.284	0.111	0.285
791	-25425.957969	-25426.840443	-25430.352903	-25426.840443	0.8	0.332	0.076	0.329	0.837	0.542	0.089	0.542
949	-25159.384865	-25160.675725	-25162.41661	-25160.675725	0.817	0.275	0.151	0.307	0.857	0.444	0.167	0.444
955	-21104.540292	-21104.618105	-21132.922278	-21104.540292	0.637	0.481	0.001	0.635	0.89	0.713	0.005	0.878
977	-27256.489153	-27257.714106	-27256.93304	-27256.93304	0.619	0.245	0.52	0.523	0.66	0.385	0.63	0.63
985	-24808.745307	-24811.43397	-24811.43397	-24811.43397	0.849	0.153	0.153	0.152	0.846	0.154	0.154	0.154
37	-26162.393848	-26164.840688	-26172.168367	-26164.840688	0.888	0.18	0.015	0.179	0.903	0.401	0.029	0.401
147	-18429.504666	-18430.69173	-18429.504666	-18430.69173	0.593	0.235	0.608	0.235	0.752	0.234	0.758	0.234
199	-25528.707072	-25531.845511	-25534.579332	-25530.033951	0.76	0.278	0.122	0.438	0.842	0.391	0.165	0.64
321	-23083.65387	-23087.594931	-23088.030783	-23086.594647	0.894	0.133	0.12	0.195	0.899	0.101	0.099	0.183
323	-21690.785731	-21692.115751	-21692.482026	-21692.115678	0.792	0.306	0.202	0.306	0.816	0.281	0.215	0.281
334	-26093.472236	-26094.326509	-26093.810569	-26093.810623	0.586	0.321	0.502	0.503	0.709	0.538	0.568	0.569
412	-26021.897659	-26025.311359	-26025.433624	-26025.311359	0.842	0.21	0.184	0.208	0.861	0.156	0.155	0.156
432	-28744.329483	-28748.825255	-28748.031096	-28744.969089	0.734	0.14	0.138	0.565	0.838	0.242	0.294	0.787
488	-27435.191974	-27438.042341	-27440.846645	-27438.042341	0.879	0.21	0.113	0.211	0.904	0.315	0.107	0.315
624	-24484.11274	-24484.157318	-24484.853322	-24484.157318	0.638	0.53	0.268	0.497	0.794	0.636	0.357	0.636
628	-19491.453564	-19491.569517	-19491.569517	-19491.569517	0.618	0.384	0.385	0.385	0.604	0.396	0.396	0.396
681	-23404.169024	-23407.3833	-23407.3833	-23407.3833	0.801	0.201	0.201	0.2	0.784	0.216	0.216	0.216
798	-24312.632874	-24314.409579	-24392.61028	-24314.409562	0.798	0.207	1e-46	0.207	0.902	0.547	0.0	0.547
847	-20207.607354	-20212.693318	-20210.856002	-20209.815229	0.752	0.033	0.254	0.386	0.836	0.117	0.27	0.446
857	-19452.334172	-19453.81246	-19462.646269	-19453.81246	0.851	0.228	0.019	0.227	0.877	0.527	0.037	0.527
901	-20916.927173	-20917.361088	-20948.572417	-20917.361088	0.735	0.271	4e-05	0.271	0.858	0.63	0.001	0.63
926	-20211.059975	-20213.223287	-20249.78184	-20212.987553	0.896	0.167	3e-06	0.18	0.996	0.601	0.0005	0.551
101	-21841.682407	-21841.682407	-21841.682407	-21841.682407	0.484	0.452	0.45	0.514	0.684	0.755	0.856	0.666
146	-25153.424673	-25154.075239	-25155.158317	-25154.213581	0.749	0.409	0.28	0.34	0.899	0.583	0.338	0.522
160	-17560.357405	-17562.879496	-17562.547708	-17562.879496	0.826	0.233	0.205	0.232	0.867	0.258	0.304	0.258
185	-20880.242284	-20884.928311	-20890.677438	-20882.215049	0.771	0.105	0.024	0.396	0.869	0.258	0.041	0.602
242	-21765.94223	-21766.620725	-21766.620725	-21766.620725	0.679	0.324	0.324	0.324	0.673	0.327	0.327	0.327
248	-22988.765433	-22990.520796	-22990.546882	-22990.520796	0.717	0.43	0.306	0.43	0.73	0.288	0.285	0.288
257	-19467.950888	-19471.480513	-19471.787526	-19469.865113	0.768	0.226	0.18	0.387	0.811	0.219	0.202	0.475
276	-24365.814664	-24367.315032	-24367.315032	-24367.315032	0.804	0.198	0.197	0.198	0.801	0.2	0.2	0.199
302	-25470.634958	-25477.270107	-25479.163503	-25473.079291	0.778	0.071	0.045	0.381	0.834	0.11	0.06	0.517
335	-20407.82275	-20409.587689	-20411.847241	-20409.587689	0.767	0.37	0.166	0.369	0.796	0.464	0.17	0.464
347	-21918.501031	-21921.722162	-21921.516706	-21921.552194	0.836	0.211	0.178	0.241	0.901	0.151	0.134	0.17
503	-22476.58888	-22477.287282	-22480.24952	-22477.278859	0.663	0.574	0.109	0.56	0.734	0.624	0.172	0.629
510	-27437.918729	-27442.61585	-27618.582922	-27440.6133	0.864	0.08	1e-05	0.223	0.941	0.46	0.0	0.556
539	-23739.335113	-23740.614062	-23740.614051	-23740.614057	0.76	0.243	0.243	0.244	0.75	0.251	0.25	0.25
611	-24769.094974	-24769.594161	-24769.594161	-24769.594161	0.597	0.406	0.405	0.406	0.599	0.401	0.401	0.401
783	-21444.080965	-21454.445785	-21455.792682	-21444.984618	0.622	0.041	0.014	0.49	0.745	0.06	0.036	0.703
887	-19481.599962	-19483.702425	-19485.645782	-19481.599962	0.646	0.21	0.126	0.689	0.827	0.342	0.141	0.821
888	-24279.191735	-24279.813244	-24279.813244	-24279.813244	0.633	0.37	0.37	0.371	0.623	0.377	0.377	0.377
951	-23262.261579	-23271.251885	-23553.349979	-23266.496824	0.849	0.044	3e-94	0.224	0.937	0.418	0.0	0.582
963	-24390.284109	-24393.092755	-24393.758523	-24393.364016	0.835	0.215	0.093	0.234	0.889	0.201	0.13	0.19
3	-22267.873485	-22267.922911	-22273.701	-22267.922911	0.556	0.573	0.059	0.573	0.677	0.736	0.09	0.736
23	-23658.736594	-23661.406725	-23661.813054	-23661.406726	0.83	0.247	0.188	0.246	0.842	0.171	0.177	0.171
52	-21733.358092	-21734.239503	-21734.654495	-21733.572171	0.659	0.376	0.318	0.526	0.834	0.541	0.444	0.816
167	-23569.181937	-23574.442265	-23574.442265	-23574.442265	0.93	0.07	0.07	0.07	0.926	0.074	0.074	0.074
172	-23041.474976	-23043.846083	-23043.846083	-23043.846083	0.794	0.207	0.206	0.207	0.79	0.21	0.21	0.21
249	-21032.825152	-21033.832498	-21032.825152	-21033.832498	0.595	0.267	0.587	0.267	0.771	0.252	0.736	0.252
277	-22956.790942	-22959.586615	-22959.586593	-22959.586615	0.735	0.267	0.267	0.266	0.748	0.252	0.252	0.252
365	-22571.518277	-22573.235354	-22573.604675	-22573.235354	0.758	0.314	0.261	0.311	0.807	0.344	0.278	0.344
441	-21999.897106	-22000.602714	-22000.602746	-22000.602714	0.614	0.387	0.388	0.388	0.613	0.387	0.387	0.387
465	-21183.008718	-21183.941839	-21186.332793	-21183.941839	0.779	0.38	0.11	0.379	0.832	0.526	0.145	0.526
495	-19521.194229	-19521.194229	-19521.275937	-19521.194229	0.511	0.747	0.423	0.516	0.79	0.906	0.416	0.814
629	-23283.001683	-23283.001691	-23283.001691	-23283.001691	0.457	0.539	0.523	0.351	0.577	0.851	0.705	0.731
658	-22461.233606	-22461.622959	-22463.489652	-22461.622959	0.667	0.403	0.116	0.489	0.741	0.607	0.216	0.607
686	-21910.378982	-21912.842045	-21913.477916	-21912.842045	0.896	0.164	0.141	0.163	0.946	0.26	0.191	0.26
693	-24684.784144	-24685.368733	-24685.110581	-24685.368733	0.633	0.356	0.437	0.356	0.723	0.444	0.622	0.444
733	-20399.242802	-20399.710635	-20401.088044	-20400.980686	0.738	0.441	0.212	0.269	0.812	0.66	0.252	0.276
746	-24561.617064	-24564.89482	-24689.616814	-24564.901703	0.928	0.093	2e-07	0.108	0.955	0.477	0.0	0.475
853	-23626.372564	-23630.823364	-23875.830081	-23630.815134	0.933	0.074	1e-42	0.075	0.968	0.465	0.0	0.465
13	-22718.82579	-22720.954099	-22721.689648	-22720.954099	0.86	0.211	0.144	0.21	0.871	0.204	0.13	0.204
47	-17446.59015	-17447.825506	-17448.749409	-17447.825506	0.681	0.412	0.246	0.413	0.754	0.467	0.324	0.467
50	-18486.460226	-18486.509136	-18486.509136	-18486.509136	0.495	0.508	0.506	0.507	0.504	0.496	0.496	0.496
62	-23628.149121	-23628.887304	-23628.887304	-23628.887303	0.684	0.319	0.32	0.318	0.687	0.313	0.313	0.313
69	-18955.828664	-18956.175139	-18961.946817	-18956.175139	0.689	0.468	0.045	0.467	0.781	0.666	0.075	0.666
100	-23067.418576	-23068.014534	-23072.606479	-23068.014534	0.769	0.357	0.063	0.366	0.836	0.586	0.07	0.586
114	-23827.59245	-23827.592449	-23836.188243	-23827.592449	0.575	0.52	0.024	0.522	0.795	0.812	0.03	0.894
171	-21626.559998	-21630.285577	-21630.330754	-21630.285578	0.887	0.142	0.151	0.142	0.884	0.121	0.12	0.121
212	-20887.557325	-20889.618096	-20892.106274	-20889.618097	0.864	0.242	0.066	0.242	0.887	0.323	0.085	0.323
261	-21000.494526	-21002.788423	-21011.931692	-21002.788423	0.79	0.274	0.014	0.262	0.836	0.484	0.028	0.484
349	-18400.766007	-18400.766007	-18401.316587	-18400.766007	0.544	0.583	0.311	0.516	0.786	0.852	0.297	0.868
405	-19022.308899	-19025.050461	-19025.050461	-19025.050461	0.843	0.159	0.16	0.159	0.833	0.167	0.167	0.167
434	-23890.411536	-23890.558022	-23890.558022	-23890.558022	0.597	0.407	0.407	0.406	0.612	0.388	0.388	0.388
550	-22737.704041	-22738.778019	-22738.778019	-22738.778019	0.731	0.271	0.27	0.271	0.723	0.277	0.277	0.277
597	-24779.981991	-24783.253613	-24785.892067	-24783.594719	0.759	0.368	0.074	0.286	0.789	0.304	0.144	0.258
598	-21991.548082	-21994.255092	-21998.707426	-21996.303283	0.918	0.214	0.047	0.08	0.945	0.367	0.056	0.15
615	-19708.963147	-19709.87479	-19709.87479	-19709.87479	0.73	0.274	0.273	0.272	0.722	0.278	0.278	0.278
653	-22509.969332	-22510.935218	-22510.72121	-22510.935218	0.568	0.37	0.502	0.371	0.6	0.43	0.519	0.43
669	-18422.351602	-18425.233821	-18425.973598	-18424.838719	0.799	0.281	0.149	0.332	0.829	0.21	0.173	0.271
723	-19594.225252	-19595.220455	-19597.036171	-19595.220455	0.803	0.334	0.135	0.249	0.862	0.483	0.171	0.483
731	-23350.459055	-23355.159481	-23353.247851	-23353.247851	0.836	0.12	0.273	0.271	0.866	0.128	0.285	0.285
749	-21752.567143	-21752.567143	-21752.735336	-21752.567143	0.483	0.677	0.453	0.651	0.755	0.899	0.462	0.846
784	-17291.472867	-17292.71134	-17295.420245	-17292.71134	0.83	0.277	0.093	0.278	0.867	0.452	0.096	0.452
789	-21280.825837	-21281.717265	-21282.695876	-21281.63146	0.773	0.343	0.164	0.401	0.826	0.463	0.206	0.488
859	-19254.632136	-19255.914686	-19255.914686	-19255.914686	0.646	0.355	0.354	0.354	0.652	0.348	0.348	0.348
894	-21540.23988	-21543.402583	-21545.988759	-21544.506887	0.905	0.196	0.066	0.136	0.925	0.215	0.063	0.094
902	-16487.156539	-16489.3906	-16489.453873	-16489.507868	0.84	0.258	0.217	0.165	0.866	0.176	0.177	0.164
28	-21345.494672	-21345.853758	-21347.198805	-21345.853758	0.689	0.49	0.217	0.489	0.763	0.643	0.277	0.644
56	-21834.144513	-21834.626644	-21843.111736	-21834.626644	0.683	0.448	0.026	0.447	0.753	0.703	0.041	0.703
166	-19569.640314	-19574.095793	-19575.463382	-19572.935291	0.869	0.146	0.059	0.254	0.897	0.128	0.069	0.218
194	-15036.692836	-15036.779998	-15036.779998	-15036.779998	0.5	0.503	0.503	0.502	0.509	0.491	0.491	0.491
245	-20799.725666	-20799.725664	-20801.611085	-20799.725664	0.571	0.612	0.176	0.578	0.689	0.85	0.178	0.967
288	-18839.005749	-18839.79756	-18843.026655	-18839.79756	0.807	0.337	0.088	0.337	0.839	0.55	0.104	0.55
292	-20044.564917	-20046.474031	-20051.157528	-20046.474031	0.874	0.22	0.041	0.221	0.903	0.407	0.053	0.407
304	-24063.896077	-24068.348886	-24068.348886	-24068.348886	0.871	0.13	0.13	0.13	0.879	0.121	0.121	0.121
337	-21197.48299	-21198.614485	-21199.157319	-21198.614485	0.797	0.295	0.206	0.295	0.833	0.341	0.204	0.341
354	-22917.277389	-22922.609462	-22926.933767	-22922.609146	0.808	0.265	0.037	0.265	0.83	0.238	0.086	0.238
364	-19798.629318	-19804.723789	-19804.403098	-19801.632229	0.78	0.078	0.132	0.354	0.813	0.129	0.141	0.371
452	-18544.799765	-18544.941594	-18545.013472	-18544.941594	0.573	0.457	0.414	0.457	0.698	0.623	0.539	0.623
463	-20042.163897	-20049.437454	-20048.633431	-20044.622082	0.903	0.153	0.068	0.249	0.949	0.206	0.22	0.563
483	-20410.219157	-20412.099036	-20415.284123	-20412.099036	0.734	0.383	0.113	0.331	0.765	0.48	0.149	0.48
509	-22309.853208	-22345.504195	-23160.611422	-22339.07031	1.0	2e-36	1e-55	4e-05	1.0	0.134	0.0	0.179
521	-18470.22336	-18470.768079	-18470.770134	-18470.768079	0.698	0.378	0.384	0.376	0.716	0.294	0.292	0.294
535	-18450.002158	-18450.47659	-18450.47659	-18450.47659	0.688	0.312	0.313	0.314	0.691	0.309	0.309	0.309
591	-18044.107307	-18045.262483	-18075.367498	-18045.262483	0.789	0.222	0.0002	0.222	0.891	0.576	0.002	0.576
643	-22836.361613	-22837.779328	-22837.779796	-22837.779248	0.718	0.288	0.287	0.287	0.715	0.286	0.286	0.286
656	-13437.739464	-13437.844006	-13437.844006	-13437.844006	0.603	0.399	0.399	0.398	0.601	0.399	0.399	0.399
666	-19469.704789	-19469.704792	-19471.30239	-19469.704792	0.76	0.421	0.191	0.504	0.972	0.926	0.196	0.597
683	-19982.676434	-19983.003815	-19983.003815	-19983.003815	0.677	0.328	0.329	0.327	0.668	0.332	0.332	0.332
703	-23885.423965	-23887.982072	-23887.982072	-23887.982072	0.773	0.23	0.229	0.229	0.757	0.243	0.243	0.243
710	-23114.349647	-23118.196839	-23118.196839	-23118.196839	0.827	0.174	0.174	0.174	0.82	0.18	0.18	0.18
768	-19745.283501	-19746.093306	-19753.162851	-19746.093306	0.773	0.3	0.009	0.288	0.866	0.553	0.028	0.553
782	-21589.278189	-21590.508632	-21595.228999	-21590.508632	0.831	0.282	0.062	0.282	0.88	0.489	0.07	0.489
801	-22369.481371	-22372.062302	-22379.261487	-22372.062316	0.818	0.245	0.02	0.244	0.884	0.404	0.028	0.404
821	-21808.247886	-21811.618873	-21813.957468	-21812.732643	0.927	0.205	0.049	0.086	0.936	0.15	0.062	0.113
849	-23394.871923	-23398.467836	-23402.882042	-23398.03605	0.927	0.141	0.051	0.153	0.98	0.296	0.045	0.341
915	-21405.875044	-21407.29462	-21413.267607	-21407.29453	0.845	0.253	0.032	0.253	0.877	0.494	0.046	0.494
920	-20547.077723	-20549.828686	-20550.43081	-20549.828686	0.839	0.217	0.083	0.217	0.867	0.183	0.112	0.183
962	-22887.280594	-22891.476524	-22920.742363	-22891.229909	0.769	0.257	0.001	0.288	0.902	0.465	0.0002	0.501
978	-14182.924666	-14184.922494	-14186.454307	-14183.296001	0.786	0.204	0.115	0.554	0.881	0.372	0.203	0.818
27	-22603.680061	-22605.558995	-22605.1626	-22605.1626	0.754	0.256	0.3	0.329	0.798	0.278	0.369	0.369
35	-16782.673725	-16783.466723	-16787.97354	-16783.466723	0.768	0.372	0.054	0.372	0.827	0.574	0.079	0.574
91	-18248.895237	-18250.790025	-18250.790025	-18250.790025	0.789	0.212	0.212	0.212	0.772	0.228	0.228	0.228
110	-20634.401206	-20634.793371	-20634.793371	-20634.793371	0.651	0.352	0.35	0.353	0.673	0.327	0.327	0.327
184	-19556.03542	-19560.752772	-19567.981887	-19560.752772	0.918	0.129	0.007	0.13	0.942	0.218	0.017	0.218
197	-20111.16115	-20112.389469	-20115.889545	-20112.430602	0.759	0.405	0.073	0.359	0.816	0.527	0.108	0.522
299	-20404.445729	-20406.47688	-20412.510247	-20406.476879	0.794	0.295	0.03	0.293	0.863	0.452	0.048	0.452
350	-19091.936039	-19092.056465	-19097.861705	-19092.056465	0.676	0.504	0.043	0.503	0.789	0.693	0.067	0.693
384	-16365.466568	-16365.466592	-16368.928727	-16365.466593	0.608	0.499	0.112	0.602	0.846	0.777	0.117	0.865
416	-17760.721571	-17762.265927	-17774.265706	-17762.265917	0.819	0.217	0.002	0.217	0.873	0.518	0.01	0.518
462	-17720.853243	-17723.634517	-17724.441708	-17723.634517	0.817	0.275	0.13	0.274	0.848	0.206	0.141	0.206
528	-17362.751337	-17362.751338	-17362.751337	-17362.751337	0.45	0.476	0.505	0.467	0.953	0.675	0.568	0.798
543	-19476.556223	-19481.119802	-19481.119802	-19481.119802	0.872	0.129	0.128	0.128	0.868	0.132	0.132	0.132
557	-16095.100789	-16096.128951	-16095.795602	-16096.128951	0.686	0.2	0.401	0.201	0.729	0.341	0.415	0.341
576	-20127.319732	-20129.07062	-20132.643656	-20129.07062	0.868	0.237	0.062	0.237	0.891	0.405	0.073	0.405
601	-20432.040358	-20433.290793	-20433.290793	-20433.290793	0.745	0.255	0.255	0.256	0.736	0.264	0.264	0.264
605	-21063.103349	-21066.233091	-21068.363442	-21066.233091	0.924	0.152	0.051	0.151	0.921	0.146	0.062	0.146
663	-20779.51212	-20781.227351	-20781.563516	-20781.765444	0.814	0.295	0.236	0.147	0.857	0.292	0.219	0.177
678	-18872.762386	-18875.498178	-18875.555542	-18875.498178	0.873	0.184	0.122	0.183	0.875	0.141	0.128	0.141
709	-16036.229395	-16037.190603	-16038.986206	-16037.190517	0.8	0.336	0.134	0.335	0.843	0.486	0.15	0.486
719	-18978.055822	-18979.985661	-18981.30693	-18979.985661	0.758	0.297	0.167	0.359	0.78	0.365	0.197	0.365
