tree	Raxml_logL	TreeFix_logL	ProfileNJ95_logL	TruePhylo_logL	Raxml_AU	TreeFix_AU	ProfileNJ95_AU	TruePhylo_AU	Raxml_SH	TreeFix_SH	ProfileNJ95_SH	TruePhylo_SH
158	-33741.197943	-33742.347652	-33749.058534	-33742.347652	0.814	0.296	0.024	0.293	0.838	0.556	0.053	0.556
130	-44438.554862	-44440.398057	-44450.307688	-44441.304745	0.697	0.429	0.011	0.146	0.808	0.565	0.034	0.465
168	-41528.581428	-41535.174087	-41544.120659	-41531.362064	0.807	0.085	0.01	0.298	0.928	0.208	0.02	0.51
900	-41465.74175	-41469.9579	-41480.775416	-41470.789405	0.879	0.214	0.01	0.159	0.944	0.363	0.014	0.297
632	-36745.79789	-36748.509856	-36754.678327	-36746.262696	0.803	0.129	0.029	0.491	0.901	0.368	0.052	0.802
295	-36077.632047	-36081.793987	-36087.972181	-36083.938116	0.904	0.202	0.019	0.09	0.933	0.251	0.023	0.099
448	-31330.816025	-31331.192384	-31339.575204	-31331.192384	0.597	0.519	0.028	0.522	0.728	0.701	0.053	0.701
198	-41156.511581	-41158.632727	-41472.365419	-41158.632727	0.834	0.167	0.001	0.168	0.91	0.559	0.0	0.559
573	-42867.545499	-42871.152189	-42895.180061	-42872.065181	0.9	0.17	0.001	0.111	0.945	0.432	0.001	0.364
574	-28272.202691	-28272.281774	-28286.900744	-28272.281774	0.605	0.455	0.004	0.453	0.792	0.712	0.012	0.713
713	-31911.587377	-31918.273741	-31918.273741	-31914.061215	0.878	0.064	0.064	0.209	0.884	0.058	0.058	0.337
583	-34063.971069	-34065.469646	-34080.672117	-34067.065999	0.804	0.332	0.004	0.157	0.886	0.613	0.008	0.411
688	-30067.576394	-30068.102671	-30070.02188	-30069.372532	0.684	0.474	0.347	0.328	0.843	0.759	0.411	0.545
805	-25464.519339	-25468.243885	-25470.65245	-25468.243885	0.928	0.133	0.091	0.135	0.974	0.284	0.147	0.284
904	-33844.074983	-33850.157329	-33860.484814	-33848.345676	0.907	0.088	0.013	0.202	0.958	0.266	0.026	0.423
933	-26328.670351	-26340.238877	-26370.070149	-26329.107633	0.72	0.061	2e-08	0.448	0.859	0.154	0.0002	0.775
282	-31239.430335	-31241.776682	-31240.09359	-31240.09359	0.704	0.144	0.434	0.435	0.77	0.2	0.556	0.556
814	-30080.441969	-30082.314493	-30082.314493	-30082.314493	0.755	0.245	0.245	0.247	0.745	0.255	0.255	0.255
143	-34124.073723	-34128.234667	-34137.372883	-34124.52979	0.734	0.094	0.019	0.533	0.857	0.337	0.04	0.808
