tree	PolySolver_dlc	PolySolver_nad	PolySolver_dup	PolySolver_lost	PolySolver_rf	PolySolver_maxrf	PolySolver_dinl	PolySolver_p-val	PolySolver_time	ML_time	total_polytomy	polysolver_nsol	best_sol_aLRT	is_bestrf	best_rf
158	20	0	14	10	14	104	7.63561	0.0440441	0.645894050598	8.41683077812	8	1	-33749.10798	True	14
130	11	0	10	23	16	97	11.833	0.0234929	0.769738912582	4.49397301674	7	1	-44450.029096	True	16
168	18	0	12	10	20	99	15.4488	0.00739697	0.79821896553	12.6820421219	7	2	-41543.863268	True	20
900	15	0	11	21	18	90	14.772	0.00895167	0.590214967728	3.42895507812	8	1	-41480.32851	True	18
632	13	0	8	23	16	87	8.84962	0.026227	2.10702991486	7.91946196556	9	1	-36754.712821	True	16
295	16	0	10	30	16	85	10.3148	0.0197006	0.673968076706	8.50004601479	6	1	-36087.993379	True	16
448	18	0	12	17	16	85	8.6464	0.0449757	0.686398029327	7.77882504463	7	1	-31339.601407	True	16
198	13	0	9	4	34	90	313.445	6.11481e-32	1.35118198395	15.7034790516	2	9	-41471.025067	True	34
573	13	0	6	15	18	80	27.3564	0.000757551	0.568617105484	9.45674991608	8	1	-42895.278988	True	18
574	15	1	10	21	12	77	14.7236	0.00778939	0.842781066895	6.34355401993	8	1	-28286.875771	True	12
713	10	0	9	1	2	72	6.37724	0.0622921	0.719393968582	8.32221412659	6	1	-31918.36818	True	2
583	11	0	7	4	6	72	16.7748	0.00458218	0.513911008835	9.1855969429	7	1	-34080.599624	True	6
688	15	0	9	23	16	75	2.35819	0.323809	0.780154943466	9.41162014008	5	1	-30069.985746	True	16
805	14	5	5	25	14	74	6.02698	0.0924726	0.945640087128	5.8188521862	6	1	-25470.673062	True	14
904	11	1	9	23	16	75	16.3557	0.0122392	0.778845071793	2.89530110359	8	1	-33861.222775	True	16
933	11	0	7	16	16	75	41.5298	6.22074e-05	0.518679857254	7.21946310997	4	1	-26370.025914	True	16
282	9	0	6	4	2	66	0.63388	0.358842	0.56504201889	4.28468203545	7	2	-31240.656246	True	2
814	7	0	5	7	4	67	2.08004	0.23494	1.10237288475	3.82553195953	7	1	-30082.223133	True	4
143	16	0	7	14	12	69	13.6637	0.0214114	0.71910905838	8.87612819672	5	2	-34137.268618	True	12
309	7	0	9	15	10	68	1.57623	0.285103	1.25844907761	2.68718004227	6	1	-30899.322676	True	10
80	10	0	9	27	24	73	87.4422	1.52092e-09	0.632839918137	9.15698885918	3	3	-33566.57928	True	24
439	11	1	8	28	12	67	0.885634	0.4441	1.28452110291	5.87061715126	6	1	-25053.955594	True	12
738	11	4	5	23	10	66	0.694954	0.416974	2.16056704521	4.63304305077	7	1	-31644.694626	True	10
145	10	0	5	5	30	74	227.308	1.16202e-23	0.443343877792	6.43875193596	1	1	-35215.581614	True	30
253	7	0	9	25	12	65	3.93301	0.100285	0.993175983429	7.36650896072	6	1	-32289.320944	True	12
589	5	0	9	31	14	66	0.208326	0.393984	2.26136088371	6.17297506332	4	1	-25605.766143	True	14
649	14	2	7	31	14	66	0.011147	0.470055	0.446208000183	6.3125910759	5	1	-27908.98108	True	14
787	7	0	4	4	2	60	7.718	0.0698243	1.43611502647	2.46959209442	6	1	-30682.444252	True	2
26	10	0	10	10	10	62	1.62326	0.193285	1.52766084671	6.36480593681	5	1	-28605.307854	True	10
296	8	1	3	9	10	62	17.9495	0.00370281	1.21214103699	2.72717094421	4	1	-30326.256161	True	10
303	6	0	5	6	4	59	3.47721	0.173195	1.22034215927	6.55717110634	5	1	-27200.089382	True	4
378	13	0	9	9	4	59	0.58368	0.326884	1.57090902328	5.30496001244	5	1	-27082.959445	True	4
676	10	0	6	5	20	67	50.0078	9.27527e-06	0.492530822754	8.08698415756	3	1	-31507.552121	True	20
714	10	0	6	5	4	59	3.64987	0.112701	2.79925990105	8.06844902039	6	2	-32848.369792	True	4
41	12	1	7	16	10	60	5.86549	0.0527068	0.533514976501	6.73287916183	6	1	-25339.680395	True	10
224	10	0	5	24	14	62	5.75389	0.0864587	1.03717803955	6.18702697754	9	1	-25963.126666	True	14
247	15	3	6	22	14	62	15.0485	0.00483998	2.47426199913	6.06758904457	7	1	-25683.472145	True	14
272	7	0	7	22	10	60	1.02831	0.306518	1.3551428318	7.15133690834	4	1	-30694.017911	True	10
328	11	0	6	22	12	61	2.65024	0.164145	0.468035936356	6.42541313171	5	1	-26286.101225	True	12
440	8	0	3	5	10	60	120.483	1.52467e-14	0.761070966721	9.0349419117	2	6	-29666.294107	False	8
540	7	5	4	28	10	60	2.44058	0.178392	1.21807289124	7.30223798752	4	1	-32200.629865	True	10
593	3	0	8	26	12	61	5.19077	0.0730054	0.555525064468	5.79459404945	5	1	-25137.297464	True	12
662	10	0	6	21	14	62	5.49224	0.0761052	1.40460300446	6.52844285965	4	1	-26128.819983	True	14
