tree	leaves	TruePhylo_dlc	Raxml_dlc	Raxml_rf	Raxml_maxrf	Treefix_dlc	Treefix_rf	Treefix_maxrf	Treefix_dinl	Treefix_p-val	Treefix_time	TruePhylo_nad	TruePhylo_dup	TruePhylo_lost	Raxml_nad	Raxml_dup	Raxml_lost	Treefix_nad	Treefix_dup	Treefix_lost
529	85	26	31	4	170	26	0	169	1.80279	0.279629	63.759608984	0	20	6	1	20	11	0	20	6
511	69	23	34	16	144	20	10	142	3.42847	0.105395	47.8513259888	0	19	4	3	19	12	0	19	1
484	60	13	38	14	125	17	4	121	3.28497	0.151288	66.0277979374	0	13	0	4	15	20	0	14	3
584	59	21	84	44	138	31	18	126	8.79141	0.125011	283.042850018	0	19	2	12	19	60	1	19	11
292	58	13	32	12	120	14	4	117	4.18591	0.209177	48.8185338974	0	11	2	3	13	17	0	12	2
502	58	18	28	10	119	17	6	118	4.15445	0.0903547	49.812046051	0	17	1	2	17	10	0	16	1
480	56	20	45	18	119	25	16	119	4.42096	0.104085	158.990554094	0	18	2	5	19	22	1	19	5
641	56	10	32	20	120	13	14	118	8.1353	0.0519683	58.1650259495	0	9	1	2	13	17	0	11	2
899	56	18	42	14	117	18	2	112	2.51014	0.162792	46.1670401096	0	14	4	6	14	22	0	14	4
513	54	16	33	12	112	20	2	108	9.60889	0.0535458	64.4464159012	0	14	2	3	15	15	1	14	5
654	54	16	25	6	109	16	0	107	2.10617	0.187563	40.3024320602	0	14	2	2	14	10	0	14	2
722	54	16	49	16	114	16	0	107	6.55151	0.0635187	89.2231090069	0	12	4	8	12	30	0	12	4
123	53	18	26	6	107	18	0	105	0.845024	0.359238	38.32634902	0	15	3	1	16	9	0	15	3
820	53	17	37	12	110	17	0	105	3.79111	0.152471	42.6297409534	0	16	1	3	18	17	0	16	1
52	52	13	32	10	107	14	4	105	8.10312	0.0515629	35.6000349522	0	12	1	4	13	16	0	13	1
279	52	16	27	6	105	18	6	106	7.41689	0.0515885	38.5491068363	0	14	2	2	15	11	0	15	3
537	52	20	40	18	111	21	10	108	7.42506	0.0546026	125.497191906	0	18	2	2	21	19	0	20	1
950	51	15	59	26	113	23	18	110	8.28115	0.0972744	166.323845863	0	13	2	10	13	41	0	14	9
64	50	20	51	16	106	32	10	104	4.00777	0.096211	93.1389639378	0	14	6	7	14	31	2	14	16
81	50	12	30	12	104	17	4	101	5.79249	0.0725278	54.7955369949	0	11	1	4	11	15	1	11	5
446	50	13	36	16	106	13	4	101	2.82198	0.137602	40.2785379887	0	11	2	4	12	21	0	11	2
596	50	13	30	12	104	12	2	100	3.08275	0.188012	36.5854039192	0	10	3	4	10	16	0	10	2
649	50	10	38	24	110	10	4	101	3.79398	0.161969	53.7235770226	0	10	0	6	10	24	0	10	0
374	49	20	30	8	100	19	2	98	5.79249	0.143553	43.9353990555	0	15	5	1	16	14	0	15	4
590	49	13	24	6	99	13	0	97	1.50331	0.269664	41.3881230354	0	12	1	2	13	10	0	12	1
633	48	14	28	14	101	14	8	99	3.87181	0.144609	38.1761109829	0	12	2	3	13	13	0	13	1
821	48	14	29	8	98	15	4	97	1.04377	0.248229	39.4620249271	0	10	4	3	11	15	0	11	4
211	47	16	43	24	104	18	4	95	4.83036	0.0881773	87.7570960522	0	14	2	5	14	24	0	14	4
356	47	12	36	14	99	12	4	95	0.621974	0.421807	41.6246421337	0	10	2	5	11	21	0	10	2
918	47	11	23	8	96	13	4	95	5.86079	0.0541877	35.6157689095	0	11	0	2	12	10	0	12	1
481	46	12	35	14	97	17	8	95	7.10249	0.0572341	41.6248009205	0	10	2	4	12	19	1	11	5
522	46	18	46	20	100	17	8	95	5.41142	0.0891056	168.216228008	0	16	2	5	18	24	0	16	1
