tree	PolySolver_dlc	PolySolver_nad	PolySolver_dup	PolySolver_lost	PolySolver_rf	PolySolver_maxrf	PolySolver_dinl	PolySolver_p-val	PolySolver_time	ML_time	total_polytomy	polysolver_nsol	best_sol_aLRT	is_bestrf	best_rf
631	22	0	19	33	20	125	5.48832	0.0963694	0.77388715744	8.88219714165	11	1	-51523.790311	True	20
264	21	0	14	29	20	107	12.1426	0.0102436	0.830682039261	8.14949798584	9	1	-51234.934924	True	20
611	21	0	13	21	16	101	5.26752	0.115359	1.00632691383	7.09231090546	7	4	-51535.678264	True	16
229	20	2	18	9	14	98	10.5279	0.0250858	3.26740717888	7.38153386116	9	1	-48226.080757	True	14
290	20	0	13	8	6	90	6.44038	0.0440213	1.23346400261	9.80868315697	8	1	-41430.125308	True	6
86	21	0	16	27	16	91	4.4761	0.0716722	0.644342184067	6.86091899872	6	1	-31696.083924	True	16
39	19	0	15	26	18	90	7.56304	0.0434974	0.698109149933	3.23072504997	8	1	-37341.810177	True	18
535	9	0	5	4	42	102	665.433	5.41817e-70	2.45241999626	8.58622598648	2	1	-47866.731177	True	42
573	17	0	10	15	32	97	307.895	1.00597e-28	0.509342908859	6.96685099602	4	1	-43108.020898	True	32
856	14	0	11	3	20	91	284.994	6.2682e-25	0.454467058182	9.80910396576	4	1	-40420.626733	True	20
51	15	0	13	22	28	89	19.9073	0.00734443	2.66030192375	7.68977117538	6	1	-30742.329595	True	28
234	22	3	9	26	22	86	19.3802	0.0181841	0.617082118988	6.87398791313	4	2	-34419.458774	True	22
411	12	0	9	21	16	83	17.395	0.00527918	1.07216405869	7.92385697365	6	1	-32477.053699	True	16
479	20	0	13	15	26	88	52.0696	1.50243e-05	2.04000782967	10.6297588348	5	4	-37115.664557	True	26
510	12	3	11	32	12	81	-1.47982e-07	0.50008	0.558429002762	6.69052386284	4	1	-30232.15245	True	12
106	16	1	10	23	14	80	3.13351	0.123885	0.839096069336	7.44457387924	4	1	-29192.257885	True	14
111	18	0	11	26	16	81	7.61723	0.0458782	0.571370840073	8.5403740406	6	1	-30561.823027	True	16
280	13	0	9	25	16	81	8.53457	0.0379511	0.561915874481	9.78523898125	6	1	-38800.850684	True	16
432	13	0	7	6	26	86	385.518	7.32882e-38	1.51240897179	8.15289711952	2	6	-43739.205418	True	26
